OBJECTID,Stop_Number,Stop_Description,Shelter,Boarding_Allowed,Debarking_Allowed,Express_Stop,Accessible,Routes_Service,District,Zone,Latitude,Longitude,Effective_Date,x,y
1,1,ERIN MILLS PKY north of LINCOLN GREEN WAY,0,1,1,0,1,13,SHERIDAN,TRAFFIC ZONE 51,43.535249,-79.663644,2025/09/01,-79.663644,43.5352490000001
2,2,ERIN MILLS PKY at PAULA CRT WALKWAY,0,1,1,0,1,13,SHERIDAN,TRAFFIC ZONE 50,43.534534,-79.663118,2025/09/01,-79.6631179999999,43.5345340000001
3,4,EGLINTON AVE west of EAST MILL RD,0,1,1,0,1,35,EAST CREDIT,TRAFFIC ZONE 88,43.579365,-79.683931,2025/09/01,-79.683931,43.5793650000001
4,9,THE COLLEGEWAY east of GLEN ERIN DR,1,1,1,0,1,29/36,ERIN MILLS,TRAFFIC ZONE 213,43.537222,-79.684341,2025/09/01,-79.684341,43.537222
5,10,EXPLORER DR at 5875 EXPLORER DR,0,1,1,0,0,74,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.654616,-79.616731,2025/09/01,-79.616731,43.654616
6,11,MCLAUGHLIN RD at SOUTH CEREMONIAL DR,1,1,1,0,1,66,HURONTARIO,TRAFFIC ZONE 89,43.599851,-79.666981,2025/09/01,-79.666981,43.5998510000001
7,12,CREEKBANK RD north of TECH AVE,1,1,1,0,1,7/74,NORTHEAST 1,TRAFFIC ZONE 101,43.643532,-79.615677,2025/09/01,-79.6156769999999,43.643532
8,14,MATHESON BLVD at SOLAR DR,0,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.652747,-79.609733,2025/09/01,-79.6097329999999,43.652747
9,20,MATHESON BLVD at SHUTTLE DR,1,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 102,43.660658,-79.600934,2025/09/01,-79.6009339999999,43.6606580000001
10,21,MATHESON BLVD west of ORBITOR DR,1,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.657669,-79.604165,2025/09/01,-79.604165,43.6576690000001
11,22,TOURS RD at MILLERS GROVE,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 37,43.571867,-79.754795,2025/09/01,-79.7547949999999,43.571867
12,23,TOURS RD east of WINSTON CHURCHILL BLVD,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 116,43.574212,-79.751081,2025/09/01,-79.7510809999999,43.574212
