OBJECTID,StopNumber,Latitude,Longitude,Route,Effective Date,x,y
1,1,43.535249,-79.663644,13,2025/09/01,-79.663644,43.5352490000001
2,2,43.534534,-79.663118,13,2025/09/01,-79.6631179999999,43.5345340000001
3,4,43.579365,-79.683931,35,2025/09/01,-79.683931,43.5793650000001
4,9,43.537222,-79.684341,29,2025/09/01,-79.684341,43.537222
5,9,43.537222,-79.684341,36,2025/09/01,-79.684341,43.537222
6,10,43.654616,-79.616731,74,2025/09/01,-79.616731,43.654616
7,11,43.599851,-79.666981,66,2025/09/01,-79.666981,43.5998510000001
8,12,43.643532,-79.615677,7,2025/09/01,-79.6156769999999,43.643532
9,12,43.643532,-79.615677,74,2025/09/01,-79.6156769999999,43.643532
10,14,43.652747,-79.609733,7,2025/09/01,-79.6097329999999,43.652747
11,14,43.652747,-79.609733,39,2025/09/01,-79.6097329999999,43.652747
12,14,43.652747,-79.609733,43,2025/09/01,-79.6097329999999,43.652747
13,20,43.660658,-79.600934,7,2025/09/01,-79.6009339999999,43.6606580000001
14,20,43.660658,-79.600934,39,2025/09/01,-79.6009339999999,43.6606580000001
15,20,43.660658,-79.600934,43,2025/09/01,-79.6009339999999,43.6606580000001
16,21,43.657669,-79.604165,7,2025/09/01,-79.604165,43.6576690000001
17,21,43.657669,-79.604165,39,2025/09/01,-79.604165,43.6576690000001
18,21,43.657669,-79.604165,43,2025/09/01,-79.604165,43.6576690000001
19,22,43.571867,-79.754795,10,2025/09/01,-79.7547949999999,43.571867
20,22,43.571867,-79.754795,313,2025/09/01,-79.7547949999999,43.571867
21,23,43.574212,-79.751081,10,2025/09/01,-79.7510809999999,43.574212
22,23,43.574212,-79.751081,313,2025/09/01,-79.7510809999999,43.574212
23,24,43.575569,-79.74901,10,2025/09/01,-79.7490099999999,43.575569
24,24,43.575569,-79.74901,313,2025/09/01,-79.7490099999999,43.575569
25,25,43.616293,-79.689595,66,2025/09/01,-79.6895949999999,43.616293
26,26,43.62112,-79.667701,43,2025/09/01,-79.667701,43.6211200000001
27,27,43.622389,-79.663918,43,2025/09/01,-79.663918,43.6223890000001
28,28,43.622733,-79.66184,43,2025/09/01,-79.66184,43.622733
29,29,43.624168,-79.658239,43,2025/09/01,-79.658239,43.6241680000001
30,30,43.625811,-79.655513,43,2025/09/01,-79.655513,43.625811
31,31,43.631449,-79.644987,39,2025/09/01,-79.644987,43.631449
32,31,43.631449,-79.644987,43,2025/09/01,-79.644987,43.631449
33,32,43.639994,-79.632917,39,2025/09/01,-79.632917,43.6399940000001
34,32,43.639994,-79.632917,43,2025/09/01,-79.632917,43.6399940000001
35,33,43.642188,-79.630413,39,2025/09/01,-79.630413,43.642188
36,33,43.642188,-79.630413,43,2025/09/01,-79.630413,43.642188
37,34,43.643498,-79.628548,39,2025/09/01,-79.628548,43.6434980000001
38,34,43.643498,-79.628548,43,2025/09/01,-79.628548,43.6434980000001
39,35,43.649807,-79.605578,107,2025/09/01,-79.605578,43.6498070000001
40,35,43.649807,-79.605578,109,2025/09/01,-79.605578,43.6498070000001
41,36,43.649555,-79.606183,107,2025/09/01,-79.606183,43.6495550000001
42,36,43.649555,-79.606183,109,2025/09/01,-79.606183,43.6495550000001
43,37,43.652174,-79.611796,7,2025/09/01,-79.611796,43.6521740000001
44,37,43.652174,-79.611796,39,2025/09/01,-79.611796,43.6521740000001
45,37,43.652174,-79.611796,43,2025/09/01,-79.611796,43.6521740000001
46,38,43.648592,-79.620893,7,2025/09/01,-79.620893,43.6485920000001
47,38,43.648592,-79.620893,74,2025/09/01,-79.620893,43.6485920000001
48,39,43.651994,-79.615557,7,2025/09/01,-79.615557,43.6519940000001
49,39,43.651994,-79.615557,39,2025/09/01,-79.615557,43.6519940000001
50,39,43.651994,-79.615557,43,2025/09/01,-79.615557,43.6519940000001
51,40,43.651973,-79.612358,7,2025/09/01,-79.612358,43.651973
52,40,43.651973,-79.612358,39,2025/09/01,-79.612358,43.651973
53,40,43.651973,-79.612358,43,2025/09/01,-79.612358,43.651973
54,41,43.652685,-79.609409,7,2025/09/01,-79.609409,43.6526850000001
55,41,43.652685,-79.609409,39,2025/09/01,-79.609409,43.6526850000001
56,41,43.652685,-79.609409,43,2025/09/01,-79.609409,43.6526850000001
57,42,43.654645,-79.607671,7,2025/09/01,-79.607671,43.6546450000001
58,42,43.654645,-79.607671,39,2025/09/01,-79.607671,43.6546450000001
59,42,43.654645,-79.607671,43,2025/09/01,-79.607671,43.6546450000001
60,43,43.660344,-79.600903,7,2025/09/01,-79.600903,43.6603440000001
61,43,43.660344,-79.600903,39,2025/09/01,-79.600903,43.6603440000001
62,43,43.660344,-79.600903,43,2025/09/01,-79.600903,43.6603440000001
63,44,43.66253,-79.598496,7,2025/09/01,-79.598496,43.6625300000001
64,44,43.66253,-79.598496,39,2025/09/01,-79.598496,43.6625300000001
65,44,43.66253,-79.598496,43,2025/09/01,-79.598496,43.6625300000001
66,45,43.638257,-79.635178,39,2025/09/01,-79.6351779999999,43.6382570000001
67,45,43.638257,-79.635178,43,2025/09/01,-79.6351779999999,43.6382570000001
68,45,43.638257,-79.635178,73,2025/09/01,-79.6351779999999,43.6382570000001
69,46,43.636372,-79.637214,39,2025/09/01,-79.637214,43.636372
70,46,43.636372,-79.637214,43,2025/09/01,-79.637214,43.636372
71,47,43.648193,-79.620629,7,2025/09/01,-79.620629,43.648193
72,47,43.648193,-79.620629,74,2025/09/01,-79.620629,43.648193
73,48,43.615314,-79.680446,25,2025/09/01,-79.6804459999999,43.6153140000001
74,48,43.615314,-79.680446,43,2025/09/01,-79.6804459999999,43.6153140000001
75,49,43.576887,-79.783746,39,2025/09/01,-79.783746,43.5768870000001
76,50,43.633638,-79.641318,39,2025/09/01,-79.641318,43.6336380000001
77,50,43.633638,-79.641318,43,2025/09/01,-79.641318,43.6336380000001
78,51,43.626301,-79.655306,39,2025/09/01,-79.6553059999999,43.6263010000001
79,51,43.626301,-79.655306,43,2025/09/01,-79.6553059999999,43.6263010000001
80,52,43.62472,-79.657681,43,2025/09/01,-79.657681,43.62472
