FID,SEG_ID,ST_NAME_ID,STNAME,SUFFIX,DIRECTION,FULLNAME,FROMLEFT,TOLEFT,FROMRIGHT,TORIGHT,ONEWAY,TYPE,STATUS,OWNER,FROM_ELEV,TO_ELEV,SEG_LENGTH,NODE_FROM,NODE_TO,CRTDT_GIS,UPDDT_GIS,Shape__Length
1,366746,4089,LAKESHORE,RD,W,LAKESHORE RD W,,,,,0,ART,OPEN,MISS,0,1,118.5154030158,349478,349431,9/9/2002 3:42:38 PM,8/19/2025 11:44:44 AM,163.487847899637
2,362990,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,1061,1061,0,ART,OPEN,PEEL,0,0,225.2170103369,348261,348158,,8/19/2025 11:44:22 AM,310.5979303881
3,360196,4973,SOUTHDOWN,RD, ,SOUTHDOWN RD,,,,,0,ART,OPEN,MISS,0,0,92.0227127986,350014,349961,,8/19/2025 11:52:26 AM,126.94766774033
4,361330,5359,WIDEMARR,RD, ,WIDEMARR RD,2652,2698,2657,2699,0,LOCAL,OPEN,MISS,0,0,126.0743436665,348093,348039,,8/19/2025 11:43:30 AM,173.985447865612
5,374444,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,85.3170844486,374442,348002,3/3/2003 2:44:00 PM,8/19/2025 11:49:42 AM,117.756693914324
6,360199,3040,BROMSGROVE,RD, ,BROMSGROVE RD,2662,2662,,,0,MNRCOL,OPEN,MISS,0,0,106.0335641645,374434,347931,,8/19/2025 11:46:43 AM,146.261078870845
7,362992,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,,,0,ART,OPEN,PEEL,0,0,385.6592857044,347931,347711,,8/19/2025 11:54:59 AM,531.917492276714
8,374443,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,22.6700714159,348027,374442,3/3/2003 2:44:00 PM,8/19/2025 11:47:09 AM,31.2863302569897
9,374451,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,79.4783518461,374446,374450,3/3/2003 2:47:40 PM,8/19/2025 11:27:42 AM,109.571491985331
10,374435,3040,BROMSGROVE,RD, ,BROMSGROVE RD,2688,2688,2687,2687,0,MNRCOL,OPEN,MISS,0,0,87.7959105483,348038,374434,3/3/2003 2:15:02 PM,8/19/2025 11:33:38 AM,121.173232330883
11,354965,3324,CRAMER,ST, ,CRAMER ST,1192,1198,1193,1199,0,LOCAL,OPEN,MISS,0,0,100.2874154816,348093,348038,,8/19/2025 11:49:40 AM,138.292243297479
12,374449,106389,UNNAMED,URES, ,UNNAMED URES,,,,,0,LOCAL,OPEN,PRIV,0,0,20.5011421653,374448,374446,3/3/2003 2:47:18 PM,8/19/2025 11:45:03 AM,28.2850763227791
13,354966,3324,CRAMER,ST, ,CRAMER ST,1216,1224,1217,1225,0,LOCAL,OPEN,MISS,0,0,99.1486521575,348038,347973,,8/19/2025 11:51:22 AM,136.656852915424
14,361335,3040,BROMSGROVE,RD,,BROMSGROVE RD,2590,2640,2573,2633,0,MNRCOL,OPEN,MISS,0,0,244.8673065149,348137,348038,,8/19/2025 11:41:40 AM,337.87137332407
15,361324,4186,LUNDENE,RD, ,LUNDENE RD,2662,2730,2645,2683,0,LOCAL,OPEN,MISS,0,0,178.4738920438,347973,347865,,8/19/2025 11:35:55 AM,246.194789854909
16,354958,4912,SHERHILL,DR, ,SHERHILL DR,2592,2688,2565,2705,0,LOCAL,OPEN,MISS,0,0,415.0616732072,348073,347865,,8/19/2025 11:45:25 AM,572.650891111815
17,361323,4186,LUNDENE,RD, ,LUNDENE RD,2588,2650,2593,2643,0,LOCAL,OPEN,MISS,0,0,220.9921420601,348073,347973,,8/19/2025 11:46:37 AM,304.949857966726
18,354967,5096,TALLBERG,CRT, ,TALLBERG CRT,2756,2800,2765,2795,0,LOCAL,OPEN,MISS,0,0,117.5992476852,347840,347796,,8/19/2025 11:28:32 AM,162.35229101842
19,354969,5029,STOCKHOLM,RD, ,STOCKHOLM RD,2692,2702,,,0,LOCAL,OPEN,MISS,0,0,74.5985537997,347740,347711,,8/19/2025 11:53:52 AM,102.93058387167
20,362993,5395,WINSTON CHURCHILL,BLVD, ,WINSTON CHURCHILL BLVD,,,,,0,ART,OPEN,PEEL,0,0,373.4473104388,347711,347519,,8/19/2025 11:53:37 AM,515.098552289536
21,354968,5029,STOCKHOLM,RD, ,STOCKHOLM RD,2678,2688,2671,2671,0,LOCAL,OPEN,MISS,0,0,93.5922378046,347780,347740,,8/19/2025 11:42:07 AM,129.137648092666
22,354971,3070,BUSHLAND,CRES, ,BUSHLAND CRES,2800,2840,2789,2839,0,LOCAL,OPEN,MISS,0,0,180.2070814868,347654,347740,,8/19/2025 11:46:30 AM,248.559525701963
23,354983,3040,BROMSGROVE,RD,,BROMSGROVE RD,0,0,2563,2569,0,MNRCOL,OPEN,MISS,0,0,62.976281956,348170,348137,,8/19/2025 11:52:35 AM,86.8682726773145
24,361328,3279,CONSTABLE,RD, ,CONSTABLE RD,2784,2796,2783,2801,0,LOCAL,OPEN,MISS,0,0,77.0383402881,347840,347892,,8/19/2025 11:36:34 AM,106.269430192552
25,354964,3279,CONSTABLE,RD, ,CONSTABLE RD,,,2755,2761,0,LOCAL,OPEN,MISS,0,0,78.6020033457,347780,347840,,8/19/2025 11:35:17 AM,108.345584814211
26,354957,4186,LUNDENE,RD, ,LUNDENE RD,2560,2584,2559,2581,0,LOCAL,OPEN,MISS,0,0,99.9485735166,348121,348073,,8/19/2025 11:57:04 AM,137.867383274181
