FID,NODE_ID,INT_DESC,INT_TYPE,ELEVATION,STATUS,OWNER,UTM_X,UTM_Y,CRTDT_GIS,UPDDT_GIS,x,y
1,2008571,ARGENTIA RD,SIGNAL,CONN,OPEN,MISS,598248.41,4828008.78,4/4/2013 8:26:46 AM,,-8881374.38268937,5403529.4477035
2,2008580,UNNAMED UHOS/WINDING TR,ROAD,CONN,OPEN,MISS,613027.71,4830521.09,4/5/2013 10:55:42 AM,4/5/2013 10:56:02 AM,-8860937.92483267,5406683.9816354
3,2008584,UNNAMED UHOS,RDEND,CONN,OPEN,PRIV,613007.5,4830540.23,4/5/2013 11:10:50 AM,,-8860965.366827,5406710.94885654
4,2008585,BURNHAMTHORPE RD W/PARKSIDE VILLAGE DR,ROAD,CONN,OPEN,MISS,609286.12,4826572.52,4/5/2013 12:17:30 PM,,-8866187.39829988,5401305.99805393
5,2008589,CURRAN PL/PARKSIDE VILLAGE DR,ROAD,CONN,UC,MISS,609166.97,4826684.98,4/5/2013 2:00:05 PM,4/5/2013 2:01:40 PM,-8866349.11455509,5401464.24818076
6,2008591,ARBUTUS WAY/PARKSIDE VILLAGE DR,ROAD,CONN,UC,MISS,609057.87,4826807.23,4/5/2013 2:01:40 PM,,-8866496.77202773,5401635.82845358
7,2008875,FRANCINE CRES/FRANCINE CRES,ROAD,CONN,UC,PRIV,605634.05,4828585.52,4/23/2013 11:30:14 AM,10/6/2015 8:12:21 AM,-8871178.09457278,5404172.13452249
8,2008879,FRANCINE CRES/FRANCINE CRES,ROAD,CONN,OPEN,PRIV,605593.59,4828474.22,4/23/2013 11:54:28 AM,4/23/2013 11:54:52 AM,-8871236.29706491,5404018.99630175
9,2008881,FRANCINE CRES,RDEND,CONN,OPEN,PRIV,605572.16,4828447.06,4/23/2013 11:55:50 AM,10/6/2015 8:11:35 AM,-8871266.44122374,5403981.87827017
10,2008964,BANFF CRT,RDEND,CONN,OPEN,MISS,598340.18,4825020.81,4/23/2013 2:57:17 PM,9/16/2016 3:30:20 PM,-8881308.22882249,5399393.84108425
11,2009338,DERRY RD E/UNNAMED UREC,ROAD,CONN,OPEN,PEEL,609989.07,4840672.24,6/6/2013 9:35:20 AM,,-8864898.66887306,5420815.4432389
12,2009342,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,610258.84,4840521.95,6/6/2013 9:38:02 AM,6/6/2013 9:46:09 AM,-8864529.43551811,5420600.94108097
13,2009344,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,610303.6,4840493.34,6/6/2013 9:39:35 AM,6/10/2013 2:18:43 PM,-8864468.26032056,5420560.25005337
14,2009346,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,610265.81,4840537.25,6/6/2013 9:40:00 AM,6/6/2013 10:02:33 AM,-8864519.46272287,5420621.98941369
15,2009347,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,610189.18,4840840.51,6/6/2013 11:09:11 AM,6/6/2013 11:21:37 AM,-8864618.40709988,5421044.1391494
16,2009351,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,610206.56,4840861.56,6/6/2013 11:09:54 AM,,-8864593.90838268,5421072.92829254
17,2009352,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,609744.63,4842053.82,6/6/2013 12:00:24 PM,10/7/2015 12:19:28 PM,-8865204.96842812,5422736.43850118
18,2009356,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,609754.03,4842016.06,6/6/2013 12:01:03 PM,,-8865192.83437138,5422683.86305038
19,2009357,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,609724.61,4842047.64,6/6/2013 12:01:52 PM,,-8865232.75617685,5422728.32159956
20,2009362,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,609192.58,4840446.07,6/6/2013 1:41:10 PM,,-8866004.03318646,5420520.03746466
21,2009363,SAINT BARBARA BLVD/UNNAMED UREC,ROAD,CONN,OPEN,MISS,603415.07,4832968.24,6/6/2013 1:48:13 PM,6/6/2013 1:49:16 PM,-8874144.63397211,5410286.94768035
22,2009367,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,603391.33,4832937.17,6/6/2013 1:48:56 PM,,-8874178.05402958,5410244.43594307
23,2009368,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,601978.4,4830815.76,6/6/2013 3:43:59 PM,6/6/2013 3:45:48 PM,-8876172.28102147,5407337.3016077
24,2009371,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,601986.49,4830827.94,6/6/2013 3:44:05 PM,6/6/2013 3:46:09 PM,-8876160.86988214,5407353.98238524
25,2009378,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,602035.71,4831783.81,6/7/2013 8:38:42 AM,6/7/2013 8:39:08 AM,-8876072.88195826,5408676.26874451
26,2009382,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,601992.14,4831791.17,6/7/2013 8:41:12 AM,6/7/2013 8:50:55 AM,-8876132.83534073,5408687.37338921
27,2009383,SECOND LINE WEST/SECOND LINE WEST,ROAD,CONN,OPEN,MISS,602059.62,4831807.42,6/7/2013 8:42:46 AM,,-8876039.39725502,5408708.4428603
28,2009387,TENTH LINE WEST/UNNAMED UREC,ROAD,CONN,OPEN,MISS,599292.64,4825892.97,6/7/2013 10:56:27 AM,1/24/2025 1:03:30 PM,-8879949.04944719,5400552.58948111
29,2009390,TENTH LINE WEST/UNNAMED UREC,ROAD,CONN,OPEN,MISS,599238.96,4825945.05,6/7/2013 11:19:41 AM,1/24/2025 1:03:54 PM,-8880008.63750408,5400613.56765683
30,2009398,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,602131.47,4822714.6,6/7/2013 2:05:03 PM,6/7/2013 2:11:44 PM,-8876131.17889274,5396126.2957199
31,2009400,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,602141.84,4822700.36,6/7/2013 2:08:38 PM,6/7/2013 2:11:54 PM,-8876117.18574778,5396106.38179664
32,2009403,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,601693.74,4823042.22,6/7/2013 2:25:22 PM,6/7/2013 2:27:46 PM,-8876727.43378829,5396588.48083513
33,2009405,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,601710.67,4823028.79,6/7/2013 2:26:00 PM,6/7/2013 2:28:59 PM,-8876704.39543279,5396569.55652807
34,2009408,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,606872.58,4832611.46,6/7/2013 2:48:02 PM,6/7/2013 2:57:08 PM,-8869381.65698103,5409717.73410196
35,2009411,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608230.11,4832100.78,6/7/2013 3:36:39 PM,6/7/2013 3:40:20 PM,-8867519.9928079,5408980.46854658
36,2009413,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608241.22,4832112.6,6/7/2013 3:40:20 PM,6/7/2013 3:41:15 PM,-8867504.39714361,5408996.59446406
37,2009415,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608257.84,4832130.39,6/7/2013 3:41:15 PM,6/10/2013 8:03:29 AM,-8867481.07222492,5409020.84608237
38,2009438,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608502.76,4831782.52,6/10/2013 11:21:03 AM,,-8867150.94845309,5408533.74844379
39,2009442,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,608527.12,4831808.02,6/10/2013 11:21:50 AM,,-8867116.77067837,5408568.50527923
40,2009443,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608477.74,4831806.99,6/10/2013 11:22:10 AM,,-8867184.91999286,5408568.18000269
41,2009447,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,608360.2,4831943.57,6/10/2013 11:22:33 AM,6/10/2013 11:23:34 AM,-8867344.02105672,5408759.90401298
42,2009448,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608382.75,4831900.37,6/10/2013 11:25:17 AM,6/10/2013 11:26:42 AM,-8867313.88096852,5408699.59390833
43,2009451,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608393.35,4831910.99,6/10/2013 11:25:20 AM,6/10/2013 11:26:53 AM,-8867299.0230116,5408714.05117381
44,2009456,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608461.7,4832006.61,6/10/2013 11:27:57 AM,,-8867202.58686727,5408844.90275281
45,2009458,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608589.4,4831954.09,6/10/2013 11:28:45 AM,6/10/2013 11:34:42 AM,-8867027.58888616,5408769.32890469
46,2009462,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608396.64,4832012.4,6/10/2013 11:36:28 AM,,-8867292.21822767,5408854.37603007
47,2009464,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608381.23,4831997.22,6/10/2013 11:37:18 AM,,-8867313.81001013,5408833.71578394
48,2009465,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608334.14,4831947.51,6/10/2013 11:37:26 AM,,-8867379.89519397,5408765.94826334
49,2009478,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,608279.03,4832003.04,6/10/2013 2:05:29 PM,,-8867454.68670867,5408844.05562032
50,2009483,UNNAMED UREC,ROAD,CONN,OPEN,MISS,608486.44,4832090.51,6/11/2013 8:39:45 AM,6/11/2013 8:40:34 AM,-8867166.58136898,5408960.507139
51,2009485,ROSE CHERRY PL/UNNAMED UREC,ROAD,CONN,OPEN,MISS,608371.84,4832078.62,6/11/2013 8:46:48 AM,,-8867324.95139787,5408946.62271783
52,2009489,UNNAMED UREC,ROAD,CONN,OPEN,MISS,608377.6,4832106.31,6/11/2013 8:47:38 AM,6/11/2013 8:50:14 AM,-8867316.38787565,5408984.82787568
53,2009492,CHURCH ST/UNNAMED UREC,ROAD,CONN,OPEN,MISS,604215.31,4826008.04,6/11/2013 1:50:58 PM,,-8873189.67969986,5400636.75400826
54,2009497,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,604250.24,4826064.08,6/11/2013 1:52:11 PM,6/11/2013 1:53:02 PM,-8873140.3310815,5400713.51697351
55,2009499,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,607514.68,4827032.47,6/11/2013 3:44:34 PM,,-8868619.16415229,5401981.90960162
56,2009517,SOUTHDOWN RD/UNNAMED UREC,ROAD,CONN,OPEN,MISS,611450.13,4817772.66,6/12/2013 11:36:15 AM,,-8863405.46884122,5389091.42127235
57,2009521,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,611465.87,4817709.8,6/12/2013 11:37:20 AM,,-8863385.23947657,5389004.22296898
58,2009522,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,612583.69,4818300.67,6/12/2013 12:11:42 PM,6/12/2013 12:14:34 PM,-8861832.78087296,5389794.84090724
59,2009527,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,612552.51,4818301.82,6/12/2013 12:13:48 PM,6/12/2013 1:51:28 PM,-8861875.68183181,5389797.14943862
60,2009529,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,612223.91,4818574.22,6/12/2013 1:56:28 PM,6/12/2013 1:59:38 PM,-8862321.83518331,5390181.10694014
61,2009531,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,612282.96,4818556.94,6/12/2013 2:02:59 PM,,-8862240.92148501,5390155.86914791
62,2009536,ATWATER AVE/UNNAMED UREC,ROAD,CONN,OPEN,MISS,615958.62,4826605.82,6/12/2013 2:32:57 PM,,-8856988.85249028,5401197.09797878
63,2009540,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,616029.58,4826553.03,6/12/2013 2:34:51 PM,6/13/2013 7:57:13 AM,-8856892.30229343,5401122.36693528
