"District","accessible","total","proportion"
"APPLEWOOD",72,72,1
"BRAMPTON",30,30,1
"CENTRAL ERIN MILLS",112,112,1
"CREDITVIEW",36,36,1
"EAST CREDIT",137,137,1
"ERINDALE",70,70,1
"FAIRVIEW",48,48,1
"MAVIS - ERINDALE",29,29,1
"MEADOWVALE",155,155,1
"MEADOWVALE VILLAGE",47,47,1
"MINEOLA",32,32,1
"MISSISSAUGA VALLEYS",62,62,1
"PORT CREDIT",42,42,1
"RATHWOOD",76,76,1
"WESTERN BUSINESS PARK",27,27,1
"COOKSVILLE",116,117,0.991452991452991
"MALTON",167,169,0.988165680473373
"CITY CENTRE",71,72,0.986111111111111
"LISGAR",65,66,0.984848484848485
"SOUTH ETOBICOKE",117,119,0.983193277310924
"HURONTARIO",145,148,0.97972972972973
"CHURCHILL MEADOWS",94,96,0.979166666666667
"NORTH ETOBICOKE",45,46,0.978260869565217
"ERIN MILLS",169,173,0.976878612716763
"MEADOWVALE BUSINESS PARK",110,113,0.973451327433628
"STREETSVILLE",65,67,0.970149253731343
"GATEWAY",184,194,0.948453608247423
"CLARKSON - LORNE PARK",110,116,0.948275862068966
"DIXIE",54,57,0.947368421052632
"LAKEVIEW",65,69,0.942028985507246
"NORTHEAST 1",199,213,0.934272300469484
"SHERIDAN",58,63,0.920634920634921
"AIRPORT CORPORATE",50,55,0.909090909090909
"NORTHEAST 2",112,130,0.861538461538462
"OAKVILLE",9,11,0.818181818181818
"SOUTHDOWN",25,31,0.806451612903226
"AIRPORT",14,19,0.736842105263158
