"District","n_routes"
"CITY CENTRE",22
"SOUTH ETOBICOKE",21
"NORTHEAST 1",17
"HURONTARIO",16
"ERIN MILLS",14
"EAST CREDIT",13
"GATEWAY",13
"MEADOWVALE",13
"APPLEWOOD",12
"STREETSVILLE",12
"CENTRAL ERIN MILLS",11
"FAIRVIEW",11
"MALTON",10
"MISSISSAUGA VALLEYS",10
"NORTHEAST 2",10
"RATHWOOD",10
"AIRPORT CORPORATE",9
"CHURCHILL MEADOWS",9
"COOKSVILLE",9
"MEADOWVALE BUSINESS PARK",9
"BRAMPTON",8
"DIXIE",7
"LISGAR",7
"SHERIDAN",7
"AIRPORT",6
"CLARKSON - LORNE PARK",6
"CREDITVIEW",6
"ERINDALE",6
"MAVIS - ERINDALE",6
"MEADOWVALE VILLAGE",6
"SOUTHDOWN",6
"LAKEVIEW",5
"NORTH ETOBICOKE",5
"OAKVILLE",5
"WESTERN BUSINESS PARK",5
"PORT CREDIT",4
"MINEOLA",2
